cloudlet_id,mote_id,arrival_time_iso,epoch,temperature_C,humidity_percent,light_lux,voltage_V,cloudlet_length_MI,file_size_bytes,output_size_bytes,cores_required,priority
0,23,2004-03-24T16:25:10,1080145510,24.43,72.66,254.42,2.821,1706,912,208,4,3
1,46,2004-03-31T00:58:27,1080694707,19.13,32.05,98.44,2.626,913,227,291,1,1
2,30,2004-03-24T19:11:24,1080155484,20.75,31.77,125.22,2.665,954,816,526,1,2
3,21,2004-03-26T06:32:10,1080282730,19.38,45.95,366.26,2.692,1260,819,529,2,2
4,10,2004-03-18T14:12:23,1079619143,17.97,40.37,243.2,2.691,1087,561,406,1,2
5,43,2004-02-29T06:37:48,1078036668,21.24,41.09,703.46,2.634,1393,485,432,2,1
6,13,2004-03-07T11:23:00,1078658580,18.4,48.4,108.75,2.621,1149,549,174,2,1
7,12,2004-04-05T01:03:34,1081127014,21.48,68.01,90.96,2.512,1495,508,243,4,1
8,9,2004-03-24T20:41:29,1080160889,27.8,61.35,4.87,2.825,1479,826,141,4,3
9,4,2004-04-03T20:17:22,1081023442,24.09,41.16,139.15,2.701,1169,975,309,2,2
10,39,2004-03-17T04:06:46,1079496406,20.33,53.67,57.44,2.671,1240,486,242,2,2
11,24,2004-03-22T04:27:54,1079929674,20.08,22.84,128.4,2.637,808,803,225,1,1
12,54,2004-03-12T03:34:34,1079062474,20.8,46.63,436.76,2.707,1334,314,501,2,2
13,34,2004-04-02T20:05:08,1080936308,28.21,42.16,549.17,2.687,1471,1057,225,4,2
14,39,2004-03-25T07:12:35,1080198755,18.73,56.56,152.07,2.838,1299,393,463,2,3
15,41,2004-03-13T08:25:11,1079166311,21.99,52.46,375.63,2.661,1415,1074,382,4,2
16,5,2004-03-02T05:16:07,1078204567,23.4,48.71,325.8,2.675,1361,281,334,2,2
17,15,2004-03-23T17:57:22,1080064642,25.65,50.52,610.98,2.761,1576,837,397,4,2
18,50,2004-03-02T19:29:25,1078255765,21.0,39.8,401.38,2.753,1218,863,439,2,2
19,4,2004-04-05T03:49:08,1081136948,19.11,56.61,819.92,2.604,1641,767,273,4,1
20,51,2004-03-08T02:40:01,1078713601,22.87,50.52,409.31,2.743,1420,640,281,4,2
21,52,2004-03-14T20:40:55,1079296855,25.94,43.05,285.34,2.797,1307,600,315,2,2
22,39,2004-03-19T10:48:11,1079693291,21.18,46.18,603.02,2.816,1418,999,239,4,3
23,8,2004-03-02T18:51:09,1078253469,19.48,55.13,476.04,2.602,1455,492,396,4,1
24,49,2004-03-20T03:06:13,1079751973,22.33,56.26,469.61,2.697,1525,1099,146,4,2
25,45,2004-03-08T03:55:43,1078718143,17.13,40.89,193.49,2.613,1053,359,411,1,1
26,24,2004-02-29T04:42:35,1078029755,21.34,34.28,528.16,2.769,1205,551,480,2,2
27,53,2004-03-13T14:45:52,1079189152,25.53,39.53,496.3,2.712,1352,287,432,2,2
28,28,2004-03-25T09:52:11,1080208331,24.62,40.15,219.78,2.796,1205,414,268,2,2
29,43,2004-03-15T03:47:05,1079322425,21.57,46.48,412.63,2.743,1335,947,502,2,2
30,27,2004-03-16T00:28:05,1079396885,26.98,59.37,287.84,2.627,1574,551,195,4,1
31,1,2004-03-10T10:50:36,1078915836,27.73,39.35,202.79,2.707,1246,869,271,2,2
32,34,2004-03-14T03:09:31,1079233771,23.99,49.66,174.85,2.64,1312,994,417,2,1
33,17,2004-03-28T21:36:24,1080509784,17.6,42.79,371.32,2.614,1179,358,542,2,1
34,37,2004-03-09T14:44:00,1078843440,16.36,45.23,179.39,2.659,1095,704,305,1,2
35,38,2004-03-16T22:12:42,1079475162,26.15,48.64,432.83,2.715,1469,716,395,4,2
36,26,2004-03-25T02:04:42,1080180282,22.73,59.42,47.19,2.623,1370,470,525,2,1
37,24,2004-03-21T05:11:26,1079845886,26.91,47.97,182.96,2.71,1349,1005,199,2,2
38,39,2004-03-06T13:53:31,1078581211,17.98,14.02,47.47,2.592,594,686,386,1,1
39,21,2004-03-05T02:23:55,1078453435,21.52,42.61,71.31,2.548,1105,580,167,1,1
40,30,2004-03-06T12:02:23,1078574543,25.09,63.83,351.04,2.843,1635,653,547,4,3
41,47,2004-03-16T08:55:42,1079427342,19.81,58.7,398.14,2.667,1476,785,256,4,2
42,51,2004-02-28T18:15:25,1077992125,25.04,54.49,205.78,2.684,1421,948,355,4,2
43,48,2004-04-05T21:55:09,1081202109,21.63,59.15,45.15,2.671,1342,876,298,2,2
44,13,2004-02-28T23:30:54,1078011054,22.08,54.89,559.21,2.741,1545,285,562,4,2
45,37,2004-03-10T00:47:57,1078879677,18.45,58.92,456.99,2.713,1481,679,163,4,2
46,3,2004-03-21T14:52:34,1079880754,22.75,31.59,179.96,2.771,1019,908,532,1,2
47,32,2004-03-30T02:54:35,1080615275,28.58,44.28,574.91,2.722,1523,742,497,4,2
48,35,2004-03-26T23:09:42,1080342582,23.16,46.77,674.97,2.698,1502,643,247,4,2
49,19,2004-03-29T16:56:31,1080579391,19.62,45.65,82.19,2.781,1118,851,524,2,2
50,14,2004-03-26T10:31:30,1080297090,26.19,38.08,134.57,2.67,1162,982,347,2,2
51,48,2004-03-27T02:33:08,1080354788,19.72,46.76,469.63,2.696,1330,634,262,2,2
52,22,2004-03-05T02:42:58,1078454578,27.16,24.6,12.6,2.68,919,668,130,1,2
53,17,2004-03-29T19:44:06,1080589446,18.18,50.44,83.79,2.809,1162,714,236,2,3
54,4,2004-03-28T22:30:44,1080513044,22.82,36.91,289.37,2.727,1155,242,405,2,2
55,45,2004-03-14T02:36:56,1079231816,26.58,18.89,51.52,2.705,841,565,168,1,2
56,40,2004-03-28T18:00:06,1080496806,19.4,45.2,421.87,2.526,1277,909,265,2,1
57,19,2004-03-27T07:36:49,1080373009,22.25,63.58,279.09,2.729,1538,716,457,4,2
58,37,2004-03-30T23:32:19,1080689539,25.47,22.19,28.03,2.756,856,718,504,1,2
59,2,2004-03-31T08:31:53,1080721913,15.23,42.08,571.8,2.773,1222,593,329,2,2
60,15,2004-03-15T23:08:09,1079392089,24.78,25.53,204.15,2.684,981,645,188,1,2
61,2,2004-02-28T18:55:48,1077994548,21.74,48.08,350.14,2.752,1331,615,443,2,2
62,11,2004-03-20T03:07:45,1079752065,26.33,55.45,130.36,2.736,1423,666,272,4,2
63,45,2004-03-30T18:41:23,1080672083,19.52,35.29,228.64,2.538,1034,625,376,1,1
64,23,2004-04-02T18:22:38,1080930158,17.84,39.92,290.21,2.79,1101,694,407,1,2
65,10,2004-03-31T03:06:35,1080702395,20.37,43.22,559.13,2.687,1335,306,497,2,2
66,3,2004-03-29T21:39:55,1080596395,20.31,59.87,412.81,2.719,1511,403,445,4,2
67,5,2004-03-01T23:15:08,1078182908,21.38,28.22,528.08,2.65,1115,1102,192,2,2
68,3,2004-03-08T07:13:11,1078729991,20.59,39.55,105.31,2.756,1058,931,335,1,2
69,38,2004-03-09T09:09:02,1078823342,15.98,63.85,113.45,2.729,1334,638,556,2,2
70,13,2004-03-24T12:08:02,1080130082,21.72,36.27,83.89,2.567,1020,349,380,1,1
71,42,2004-03-05T23:52:45,1078530765,22.7,40.27,192.12,2.645,1154,731,551,2,1
72,19,2004-03-20T15:42:08,1079797328,21.42,47.16,471.08,2.813,1371,898,367,2,3
73,40,2004-03-28T14:24:49,1080483889,22.86,72.93,387.47,2.764,1745,608,362,4,2
74,50,2004-03-19T12:36:55,1079699815,22.25,31.59,24.82,2.674,931,542,296,1,2
75,35,2004-03-22T18:59:15,1079981955,17.85,54.06,35.39,2.675,1186,933,204,2,2
76,24,2004-03-08T07:51:29,1078732289,21.1,30.75,136.32,2.629,951,580,202,1,1
77,24,2004-03-16T10:59:09,1079434749,22.34,32.91,143.16,2.633,1012,431,287,1,1
78,17,2004-03-25T16:23:33,1080231813,21.29,38.84,21.16,2.716,1019,587,358,1,2
79,40,2004-03-14T18:48:35,1079290115,17.52,50.58,759.57,2.831,1489,547,225,4,3
80,10,2004-03-13T03:00:05,1079146805,25.67,38.4,121.52,2.675,1150,548,459,2,2
81,2,2004-03-02T03:30:36,1078198236,19.08,46.59,65.04,2.702,1113,246,309,1,2
82,44,2004-03-23T06:05:05,1080021905,18.27,36.39,270.65,2.642,1047,624,110,1,1
83,23,2004-04-03T17:31:05,1081013465,22.12,45.98,222.7,2.692,1243,301,112,2,2
84,6,2004-03-25T14:43:55,1080225835,21.05,29.43,777.48,2.727,1251,631,124,2,2
85,2,2004-03-01T06:39:29,1078123169,23.8,29.73,118.03,2.852,981,634,327,1,3
86,21,2004-03-29T18:28:25,1080584905,24.62,38.84,346.09,2.794,1248,302,132,2,2
87,35,2004-03-13T17:15:41,1079198141,24.16,52.33,159.98,2.794,1348,679,447,2,2
88,49,2004-03-11T02:46:37,1078973197,21.99,47.33,15.6,2.664,1158,541,527,2,2
89,29,2004-04-03T06:27:42,1080973662,23.66,35.71,13.63,2.627,1016,961,432,1,1
90,7,2004-03-17T08:06:38,1079510798,17.32,31.42,244.73,2.7,940,251,343,1,2
91,29,2004-03-28T22:03:51,1080511431,25.28,57.41,214.22,2.651,1474,791,284,4,2
92,53,2004-03-05T12:51:25,1078491085,20.79,61.36,275.51,2.665,1474,748,315,4,2
93,37,2004-04-01T07:46:30,1080805590,27.91,51.09,238.21,2.722,1444,812,430,4,2
94,23,2004-03-15T05:28:27,1079328507,25.37,49.27,283.34,2.751,1388,414,187,2,2
95,33,2004-03-14T04:22:16,1079238136,21.41,19.35,89.66,2.796,763,507,191,1,2
96,8,2004-03-10T15:48:13,1078933693,22.06,52.12,81.61,2.741,1264,404,131,2,2
97,12,2004-03-05T17:04:39,1078506279,25.55,64.06,150.08,2.712,1547,311,350,4,2
98,46,2004-02-28T06:27:27,1077949647,15.22,57.87,412.22,2.635,1379,388,304,2,1
99,48,2004-03-11T10:01:16,1078999276,21.52,57.22,487.4,2.797,1532,633,514,4,2
100,10,2004-03-30T07:10:38,1080630638,27.1,25.14,653.05,2.762,1246,813,243,2,2
101,15,2004-03-29T10:45:08,1080557108,24.53,36.55,543.3,2.666,1311,1040,562,2,2
102,53,2004-03-14T07:28:25,1079249305,19.49,43.26,287.59,2.768,1182,1056,352,2,2
103,24,2004-03-19T11:00:40,1079694040,22.94,36.46,21.89,2.709,1017,956,162,1,2
104,26,2004-03-31T20:41:31,1080765691,19.07,31.08,850.37,2.791,1273,447,178,2,2
105,47,2004-03-28T06:37:47,1080455867,20.98,50.03,521.52,2.681,1431,362,179,4,2
106,42,2004-04-02T23:47:07,1080949627,23.0,56.96,46.56,2.684,1338,404,439,2,2
107,53,2004-03-29T06:02:20,1080540140,23.53,28.24,652.88,2.573,1221,531,517,2,1
108,39,2004-03-13T20:59:20,1079211560,24.19,57.46,249.58,2.663,1470,509,329,4,2
109,3,2004-03-17T15:28:28,1079537308,25.7,47.68,596.06,2.833,1527,512,544,4,3
110,2,2004-03-20T19:57:02,1079812622,18.42,64.48,678.21,2.914,1675,1006,186,4,3
111,6,2004-03-10T07:52:12,1078905132,22.07,54.54,1.39,2.736,1260,706,306,2,2
112,21,2004-03-15T11:57:52,1079351872,19.45,46.56,159.61,2.661,1167,846,456,2,2
113,9,2004-02-28T13:36:24,1077975384,20.8,46.65,274.31,2.678,1253,916,453,2,2
114,10,2004-03-26T18:41:10,1080326470,19.74,45.03,227.78,2.696,1184,550,299,2,2
115,36,2004-03-26T08:04:24,1080288264,23.5,66.82,108.49,2.674,1527,923,532,4,2
116,3,2004-04-05T19:11:19,1081192279,25.16,52.34,233.64,2.763,1405,724,554,2,2
117,41,2004-03-16T09:53:04,1079430784,25.32,40.58,112.23,2.59,1171,317,131,2,1
118,24,2004-03-22T12:54:03,1079960043,18.68,51.83,117.07,2.703,1210,1015,129,2,2
119,22,2004-03-24T19:41:59,1080157319,21.63,50.59,272.31,2.847,1328,921,401,2,3
120,49,2004-03-30T18:43:35,1080672215,18.6,39.93,130.14,2.784,1036,1091,439,1,2
121,14,2004-03-19T06:42:06,1079678526,18.5,35.16,842.91,2.864,1319,853,486,2,3
122,42,2004-02-29T13:52:10,1078062730,20.01,59.18,336.73,2.69,1456,449,219,4,2
123,45,2004-03-28T20:05:06,1080504306,23.03,41.85,105.12,2.649,1141,909,374,2,1
124,44,2004-03-19T02:31:35,1079663495,23.56,41.18,361.46,2.725,1270,673,402,2,2
125,27,2004-03-23T10:25:38,1080037538,23.96,51.98,622.6,2.639,1570,414,388,4,1
126,33,2004-03-05T18:49:06,1078512546,23.78,38.79,15.73,2.659,1065,763,225,1,2
127,22,2004-04-05T21:44:00,1081201440,19.46,47.74,705.85,2.683,1458,698,296,4,2
128,29,2004-03-23T10:03:38,1080036218,25.55,40.44,120.52,2.798,1178,539,114,2,2
129,19,2004-03-24T19:56:25,1080158185,24.41,14.05,82.97,2.775,740,736,165,1,2
130,19,2004-03-02T08:16:38,1078215398,20.76,49.64,56.88,2.741,1188,951,166,2,2
131,6,2004-04-02T02:54:49,1080874489,20.88,48.14,565.27,2.708,1422,556,173,4,2
132,45,2004-03-30T13:12:08,1080652328,20.03,49.25,131.89,2.841,1205,976,326,2,3
133,19,2004-03-20T08:03:20,1079769800,18.12,20.09,519.06,2.735,923,658,433,1,2
134,13,2004-03-11T11:45:11,1079005511,24.0,28.79,144.66,2.627,984,512,314,1,1
135,26,2004-03-10T12:41:47,1078922507,24.47,58.95,241.5,2.714,1494,298,211,4,2
136,22,2004-04-01T23:30:40,1080862240,19.22,45.89,555.65,2.625,1351,1002,467,2,1
137,21,2004-03-03T01:34:39,1078277679,18.3,22.28,344.54,2.659,873,1034,451,1,2
138,36,2004-04-02T20:24:22,1080937462,19.19,46.02,583.18,2.811,1366,431,255,2,3
139,2,2004-03-20T15:30:30,1079796630,22.33,26.16,513.11,2.725,1096,972,363,1,2
140,47,2004-03-04T15:59:30,1078415970,17.85,38.12,985.85,2.709,1422,933,182,4,2
141,44,2004-03-22T17:38:51,1079977131,25.38,48.04,545.97,2.721,1501,752,178,4,2
142,30,2004-03-14T07:08:05,1079248085,25.2,48.06,236.88,2.694,1343,1065,334,2,2
143,27,2004-03-23T13:21:30,1080048090,23.27,57.08,218.38,2.531,1431,890,189,4,1
144,7,2004-04-02T15:00:50,1080918050,24.43,50.58,720.72,2.759,1608,692,223,4,2
